Date,Open,High,Low,Close,Volume
17-Mar-17,19.80,19.85,18.90,19.54,34251973
16-Mar-17,20.65,20.69,19.75,19.89,25630157
15-Mar-17,20.08,21.40,20.05,20.77,24985920
14-Mar-17,20.90,20.98,20.15,20.58,20033167
13-Mar-17,22.05,22.15,20.96,21.09,20605862
10-Mar-17,23.36,23.40,22.00,22.07,18337600
9-Mar-17,23.15,23.68,22.51,22.71,25803174
8-Mar-17,22.03,23.43,21.31,22.81,49834423
7-Mar-17,22.21,22.50,20.64,21.44,71899652
6-Mar-17,28.17,28.25,23.77,23.77,72938848
3-Mar-17,26.39,29.44,26.06,27.09,148227379
2-Mar-17,24.00,26.05,23.50,24.48,217109769
