"Symbol","Name","Sector","Industry","Summary Quote"
"PIH","1347 Property Insurance Holdings, Inc.","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/pih"
"TURN","180 Degree Capital Corp.","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/turn"
"FLWS","1-800 FLOWERS.COM, Inc.","Consumer Services","Other Specialty Stores","http://www.nasdaq.com/symbol/flws"
"FCCY","1st Constitution Bancorp (NJ)","Finance","Savings Institutions","http://www.nasdaq.com/symbol/fccy"
"SRCE","1st Source Corporation","Finance","Major Banks","http://www.nasdaq.com/symbol/srce"
"VNET","21Vianet Group, Inc.","Technology","Computer Software: Programming, Data Processing","http://www.nasdaq.com/symbol/vnet"
"TWOU","2U, Inc.","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/twou"
"JOBS","51job, Inc.","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/jobs"
"CAFD","8point3 Energy Partners LP","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/cafd"
"EGHT","8x8 Inc","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/eght"
"AVHI","A V Homes, Inc.","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/avhi"
"SHLM","A. Schulman, Inc.","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/shlm"
"AAON","AAON, Inc.","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/aaon"
"ABAX","ABAXIS, Inc.","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/abax"
"ABEO","Abeona Therapeutics Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeo"
"ABEOW","Abeona Therapeutics Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/abeow"
"ABIL","Ability Inc.","Finance","Business Services","http://www.nasdaq.com/symbol/abil"
"ABMD","ABIOMED, Inc.","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/abmd"
"AXAS","Abraxas Petroleum Corporation","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/axas"
"ACIU","AC Immune SA","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aciu"
"ACIA","Acacia Communications, Inc.","Technology","Semiconductors","http://www.nasdaq.com/symbol/acia"
"ACTG","Acacia Research Corporation","Miscellaneous","Multi-Sector Companies","http://www.nasdaq.com/symbol/actg"
"ACHC","Acadia Healthcare Company, Inc.","Health Care","Medical Specialities","http://www.nasdaq.com/symbol/achc"
"ACAD","ACADIA Pharmaceuticals Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acad"
"ACST","Acasti Pharma, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acst"
"AXDX","Accelerate Diagnostics, Inc.","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/axdx"
"ACCP","Accelerated Pharma, Inc.","n/a","n/a","http://www.nasdaq.com/symbol/accp"
"ACCPW","Accelerated Pharma, Inc.","n/a","n/a","http://www.nasdaq.com/symbol/accpw"
"XLRN","Acceleron Pharma Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/xlrn"
"ANCX","Access National Corporation","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ancx"
"ARAY","Accuray Incorporated","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/aray"
"ACRX","AcelRx Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrx"
"ACET","Aceto Corporation","Health Care","Other Pharmaceuticals","http://www.nasdaq.com/symbol/acet"
"AKAO","Achaogen, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/akao"
"ACHN","Achillion Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/achn"
"ACIW","ACI Worldwide, Inc.","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/aciw"
"ACRS","Aclaris Therapeutics, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/acrs"
"ACNB","ACNB Corporation","Finance","Major Banks","http://www.nasdaq.com/symbol/acnb"
"ACOR","Acorda Therapeutics, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/acor"
"SQZZ","Active Alts Contrarian ETF","n/a","n/a","http://www.nasdaq.com/symbol/sqzz"
"ATVI","Activision Blizzard, Inc","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/atvi"
"ACTA","Actua Corporation","Technology","EDP Services","http://www.nasdaq.com/symbol/acta"
"ACXM","Acxiom Corporation","Technology","EDP Services","http://www.nasdaq.com/symbol/acxm"
"ADMS","Adamas Pharmaceuticals, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adms"
"ADMP","Adamis Pharmaceuticals Corporation","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/admp"
"ADAP","Adaptimmune Therapeutics plc","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adap"
"ADUS","Addus HomeCare Corporation","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/adus"
"AEY","ADDvantage Technologies Group, Inc.","Consumer Services","Office Equipment/Supplies/Services","http://www.nasdaq.com/symbol/aey"
"IOTS","Adesto Technologies Corporation","Technology","Semiconductors","http://www.nasdaq.com/symbol/iots"
"ADMA","ADMA Biologics Inc","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/adma"
"ADBE","Adobe Systems Incorporated","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/adbe"
"ADOM","ADOMANI, Inc.","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/adom"
"ADTN","ADTRAN, Inc.","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/adtn"
"ADRO","Aduro Biotech, Inc.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/adro"
"AAAP","Advanced Accelerator Applications S.A.","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/aaap"
"ADES","Advanced Emissions Solutions, Inc.","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ades"
